no [875]
sorottenēto [1]
soryanē [1]
soshitara [1]
sossonna [1]
sotte [1]
su [1]
subayaku [1]
subeki [1]
subekidaga [1]
subette [1]
suburi [1]
sugata [1]
suge [1]
sugidaro [1]
sugita [1]
sugite [1]
sugoi [1]
sugosa [1]
sugusama [1]
suikō [1]
suisoku [1]
suisokuda [1]
sukide [1]
sukoshidake [1]
sukuidasu [1]
sukunai [1]
sukunakatta [1]
sukunakutomo [1]
sukuranburueggu [1]
sumanga [1]
sumanē [1]
sumeru [1]
sumunara [1]
sunda [1]
sundanoni [1]
sunde [1]
suppori [1]
surimui [1]
suruhitsuyōgāru [1]
surukarayashi [1]
surunara [1]
surunode [1]
sutereba [1]
suteru [1]
sutete [1]
sōchō [1]
sōdakara [1]
sōdakedo [1]
sōdan [1]
sōiu [1]
sōkutsuda [1]
sōmatō [1]
sōnaruto [1]
sōsaku [1]
sōsaku-tai [1]
sōshite [1]
sōte [1]
sōtei [1]
sōō [1]
sū-nen [1]
sūmei [1]
taba [1]
tabe [1]
taberu [1]
tabetakunakattadaroushi [1]
tabetemashita [1]
tabeyou [1]
tachiba [1]
tachibadarouga [1]
tachidokoroni [1]
tachimawatte [1]
tachimukaou [1]
tadachini [1]
tadaina [1]
tadashikerya [1]
tadashī [1]
tadoritsuki [1]
tadoritsukukara [1]
tae [1]
taeru [1]
taete [1]
tagai [1]
taichō-ate [1]
taigū [1]
taihan [1]
taihenda [1]
taihendatta [1]
taihō [1]
taijin [1]
taika [1]
taikina [1]
taikyoku [1]
taiminguda [1]
taimuda [1]
taimurimitto [1]
taimō [1]
taisetsuna [1]
taishi [1]
taishita [1]
taishite [1]
taitei [1]
taitō [1]
taka-sa [1]
takarada [1]
takkuru [1]
takumashī [1]
tamaru [1]
tamedattara [1]
tameshita [1]
tamotsu [1]
tamotta [1]
tane [1]
tanin [1]
tanjunna [1]
tanomimasu [1]
tanonda [1]
tanoshimini [1]
tansho [1]
taore [1]
taoshita [1]
tarinai [1]
tashikamete [1]
tashō [1]
tasukaranai [1]
tasukaranaikara [1]
tasukaranēshi [1]
tasukaritai [1]
tasukaritaikara [1]
tasukarunara [1]
tasukenakute [1]
tasuketekudasai [1]
tasuketekure [1]
tasukeyou [1]
tata [1]
tatakaeru [1]
tatakai-kata [1]
tatakaimashita [1]
tatakaitai [1]
tatakatta [1]
tatakattotta [1]
tatake [1]
tataki [1]
tataku [1]
tatasa [1]
tatteru [1]
tatterunoni [1]
tayorida [1]
tchi [1]
tchide [1]
teashi [1]
teashide [1]
tebura [1]
tegakari [1]
tegokoro [1]
tegowai [1]
tehai [1]
teian [1]
teikō-ryoku [1]
teineina [1]
teippai [1]
teisatsu [1]
tekagen [1]
tekidatta [1]
tekishita [1]
tekitai-tekida [1]
tekozura [1]
temadotchatte [1]
temadotte [1]
temae [1]
tenaikara [1]
tenaishi [1]
tenakatta [1]
tengoku [1]
tenkai [1]
tenkan [1]
tenkō [1]
tenohira [1]
tensaidatta [1]
tensaina [1]
tenē [1]
teokure [1]
teppōde [1]
terudaro [1]
teruga [1]
terukara [1]
terunoni [1]
tetadaro [1]
tetakara [1]
tetakedo [1]
tetsu [1]
toaru [1]
tobidashite [1]
tobimawaru [1]
tobimawatteta [1]
tobioriru [1]
tochi [1]
todoita [1]
todokanai [1]
todome [1]
todomeru [1]
toite [1]
toja [1]
tojiro [1]
tokanaito [1]
tokidoki [1]
tokkuni [1]
tokubetsu [1]
tokubetsuna [1]
tokuni [1]
tokusaku [1]
tomatta [1]
tomatte [1]
tomerareru-goro [1]
tometa [1]
tomodachi [1]
tomodachina [1]
tonikakuda [1]
tora [1]
toraeru [1]
toraetarashī [1]
torawarete [1]
torenai [1]
torenaku [1]
tori [1]
toriatte [1]
torikaesanē [1]
torikaesenai [1]
torikaesu [1]
torimodoseta [1]
torunitaranai [1]
toshi [1]
totemo [1]
totsujotoshite [1]
totsuzen [1]
totteru [1]
tourashī [1]
towazu [1]
tozashi [1]
tsuba [1]
tsubureba [1]
tsubureya [1]
tsubusa [1]
tsubuseba [1]
tsudzuke [1]
tsudzuketa [1]
tsugida [1]
tsuginaru [1]
tsugunaida [1]
tsugunawa [1]
tsugōnoī [1]
tsuigeki-sen [1]
tsuizo [1]
tsuka [1]
tsukae [1]
tsukae-sōna [1]
tsukaikata [1]
tsukaikitta [1]
tsukama [1]
tsukamaete [1]
tsukamaru [1]
tsukamatsu [1]
tsukamatteru [1]
tsukanakya [1]
tsukaretakara [1]
tsukatten [1]
tsukatteta [1]
tsukawanai [1]
tsukeba [1]
tsukeneba [1]
tsukeru [1]
tsuketa [1]
tsukiru [1]
tsukitomeru [1]
tsukiyaburu [1]
tsukkakari [1]
tsukkonde [1]
tsukukara [1]
tsukuribanashidattatte [1]
tsukuru [1]
tsukushitai [1]
tsukutte [1]
tsumibukai [1]
tsuminoishiki [1]
tsumoridatta [1]
tsunagi [1]
tsunagi-me [1]
tsuppashitte [1]
tsuragamae [1]
tsuresarunara [1]
tsuretekaeru [1]
tsutaerubeku [1]
tsutaetaikoto [1]
tsutatte [1]
tsutsumashiku [1]
tsuyoi [1]
tsuyokunē [1]
tsuyokute [1]
ttemē [1]
tten [1]
ttenani [1]
ttenanida [1]
tto [1]
tōchaku [1]
tōhi [1]
tōhin [1]
tōku [1]
tōkyoku [1]
tōmasu [1]
tōnoi [1]
tōreru [1]
tōridakedo [1]
tōru [1]
tōsho [1]
tōsu [1]
tōzenyakara [1]
tōzoku [1]
u-sei [1]
ua [1]
uaa~tsu [1]
ubai [1]
ubaiai [1]
ubaikaeshi [1]
ubatta [1]
ubatte [1]
ubau [1]
ubawareta [1]
uchigawa [1]
uchigawada [1]
ueru [1]
uga~tsuū [1]
ugoi [1]
ugokanē [1]
ugokenaide [1]
ugoketa [1]
ugoku [1]
ujauja [1]
ujiuji [1]
ukai-ji [1]
ukeirenakereba [1]
ukeru [1]
uketa [1]
ukete [1]
ukkari [1]
ukku~tsu [1]
umagoyada [1]
umakatta [1]
umarekawaru [1]
umaretsuita [1]
umidaseba [1]
umidasu [1]
unagasu [1]
unazuku [1]
uni [1]
uo~tsu [1]
uragawada [1]
uragirimono [1]
urama [1]
uranattari [1]
urande [1]
urusakute [1]
ushinatchimatta [1]
ushinatta [1]
usodesho [1]
usoyashi [1]
usu [1]
usuidarou [1]
usunoro [1]
utchimatte [1]
ute [1]
utsu [1]
utsusanaito [1]
utsusu [1]
uttari [1]
uttōshī [1]
uwakku [1]
uwammikasada [1]
uwasa [1]
uwa~tsuu [1]
uwa~tsuuwa [1]
uyoku-gawa [1]
uyoku-gawadeshita [1]
uyyamero [1]
uze [1]
u~tsuuma [1]
u~tsuuwa [1]
u~tsuu~tsu [1]
u~tsuā~tsu [1]
waite [1]
waiyā [1]
wakannai [1]
wakannaikedo [1]
wakannakatta [1]
wakannē [1]
wakannēkedo [1]
wakaranaikara [1]
wakaranaikedo [1]
wakaranakattakedo [1]
wakaranakute [1]
wakaranu [1]
wakaranē [1]
wakarimashita [1]
wakattennara [1]
wakenai [1]
wakeru [1]
waki [1]
wameki [1]
wanaidarou [1]
wanaikedo [1]
wanaku [1]
wanakuteda [1]
warau [1]
warera [1]
warini [1]
wariniawanai [1]
waru [1]
waru-sa [1]
waru-sōdakara [1]
waruagakida [1]
warubekina [1]
waruikoto [1]
warukatta [1]
warukunai [1]
warukute [1]
watari [1]
watashina [1]
watashinarade [1]
watashinojinsei [1]
watashinonamaeha [1]
watasou [1]
watatchimatta [1]
wawwakatta [1]
waza [1]
wazada [1]
wazato [1]
wazukada [1]
yabai [1]
yaburu [1]
yada [1]
yajiuma [1]
yakan [1]
yakudatazu [1]
yakumawari [1]
yakumedaro [1]
yakunitate [1]
yakunitatete [1]
yametara [1]
yameyou [1]
yamikumo [1]
yane [1]
yannakucha [1]
yaranakucha [1]
yarenē [1]
yarikata [1]
yarikatada [1]
yarikatadato [1]
yarisugose [1]
yaruki [1]
yarōda [1]
yasashiku [1]
yasen [1]
yasenryōshoku [1]
yasumazaru [1]
yasumeru [1]
yasumitai [1]
yasunde [1]
yatchimae [1]
yatchimatta [1]
yatsu-ra-me [1]
yatsu-rada [1]
yatsu-rana [1]
yatsudatta [1]
yatsude [1]
yatsuna [1]
yattemasu [1]
yatten [1]
yattennoni [1]
yattokukara [1]
yattsukete [1]
ya~tsuiya [1]
yoba [1]
yobai [1]
yodōshi [1]
yoginaku [1]
yokattanoni [1]
yokattarou [1]
yoke [1]
yokeinashinpai [1]
yokereba [1]
yokodori [1]
yokose [1]
yokusei [1]
yomenai [1]
yometa [1]
yomigaeru [1]
yonda [1]
yoriniyotte [1]
yorokoba [1]
yoroshiku [1]
yorunanoni [1]
yoseyo [1]
yoshite [1]
yowaku [1]
yowakute [1]
yowatta [1]
yoyyose [1]
yubi [1]
yubifue [1]
yudaneru [1]
yuka [1]
yukuyo [1]
yume [1]
yumi [1]
yumiru-kun [1]
yumiru-tachi [1]
yurushite [1]
yutopia-ku [1]
yya [1]
yōdakedo [1]
yōdashi [1]
yōdatta [1]
yōin [1]
yōnimieru [1]
yōsei [1]
yōsuda [1]
yūdō [1]
yūhei [1]
yūkō-tekina [1]
yūsen [1]
yūshūna [1]
zaishitsu [1]
zannen [1]
zannendakedo [1]
zappana [1]
zeikin [1]
zen-hō [1]
zenbuda [1]
zenmetsu [1]
zenpō [1]
zenzen [1]
zetsubō [1]
zettaida [1]
zuboshi [1]
zusanna [1]
zuutai [1]
zūtai [1]
~tsue [1]
~tsuita [1]
~tsuore [1]
~tsuuwa [1]
~tsuyumiru [1]
~tsuā [1]
~yabettennowo [1]
~yaiittemonja [1]
~yo [1]
~youdoiinogaitazo [1]
~yuunoha [1]
ānatta [1]
ā~tsuuwa [1]
īdaro [1]
īdesho [1]
īe [1]
īga [1]
īkagen [1]
īkagenna [1]
īyaro [1]
ōenai [1]
ōini [1]
ōkata [1]
ōke [1]
ōkikute [1]
ōsei [1]
ōu [1]
ōwa [1]
ōzappa [1]
ū-te [1]
ūn [1]
