no [2354]
fukamaru [1]
fukanōdarou [1]
fukanōde [1]
fukanōdeshou [1]
fukashi [1]
fukeida [1]
fuki [1]
fukitobasa [1]
fukitobase [1]
fukitobashite [1]
fukkatsu [1]
fukkō [1]
fukujū [1]
fukuma [1]
fukume [1]
fukushū [1]
fumaete [1]
fuman [1]
fumei-sha [1]
fumeidaga [1]
fumeide [1]
fumeina [1]
fumi [1]
fuminuita [1]
fumitsubushita [1]
fumu [1]
fumō [1]
funfun [1]
funuketa [1]
funō [1]
funōna [1]
furete [1]
furihodoita [1]
furikaerazu [1]
furue [1]
furumatte [1]
furyōna [1]
fusaga [1]
fusaganaito [1]
fusaganakattakara [1]
fusaganakute [1]
fusagaranai [1]
fusageba [1]
fusagerunara [1]
fusaida [1]
fusaide [1]
fusero [1]
fushigidatta [1]
fushigina [1]
fusoku [1]
fusokudashi [1]
futashikana [1]
futate [1]
futodoki-sha-me [1]
futsūda [1]
futte [1]
fuzai [1]
fuzaketa [1]
fuzakete [1]
fuzei [1]
fīne [1]
fūbā [1]
fūfu [1]
fūfuda [1]
fūjiru [1]
fūsasakusen [1]
gakatta [1]
gakeppuchina [1]
gakida [1]
gakkari [1]
gakushū [1]
ganban [1]
ganbatteru [1]
ganjō [1]
ganjōna [1]
ganē [1]
ganēkara [1]
gara [1]
garasu [1]
gareki [1]
gasu-gire [1]
gasu-gireda [1]
gatteru [1]
gawa-zoi [1]
geigeki-chūda [1]
geigekiyōi [1]
gekiteki [1]
gen-dōri [1]
gen-dōrida [1]
genbutsu [1]
gendo [1]
gendōryoku [1]
gengo-ryokuda [1]
geninde [1]
genjitsu-sei [1]
genjitsuda [1]
genjōde [1]
genjōrashī [1]
genka [1]
genki [1]
genkina [1]
genmetsu [1]
genni [1]
genri [1]
genridarou [1]
genten [1]
gi [1]
gido [1]
gijutsuda [1]
ginen [1]
girei [1]
gireida [1]
girigiri [1]
gogo [1]
goma [1]
gomakasazu [1]
gomakasou [1]
gomeiwaku [1]
goran [1]
gorotsukidattatte [1]
gotaku [1]
gou [1]
gozaimasennode [1]
gu [1]
guai [1]
gunda [1]
guraida [1]
guraidatta [1]
guraija [1]
gusaku [1]
guwa~tsu [1]
gyakuda [1]
gyāgyā [1]
gyā~tsu [1]
gōin [1]
gōkaku [1]
gōryūda [1]
gōtō [1]
gū [1]
habama [1]
habanda [1]
hadamihanasazu [1]
haeta [1]
hageme [1]
hagetakunai [1]
hahhā [1]
hairanai [1]
hairanēto [1]
hairenai [1]
hairi-ō [1]
hairimashita [1]
hairitai [1]
hairitainara [1]
hairubekida [1]
haitaga [1]
haittanoni [1]
haittenaikedo [1]
haittetara [1]
haizoku [1]
hajimatta [1]
hajime [1]
hajimenakereba [1]
hajimero [1]
hajimeru [1]
hajimeyou [1]
haken [1]
hakki [1]
hakkisama [1]
hakobi-jin [1]
hakuheisen [1]
hakushi [1]
hakushu [1]
hamaranai [1]
hammottomo [1]
hamon [1]
hamukaunara [1]
han-atari [1]
han-tachi [1]
hanadewarau [1]
hanadji [1]
hanagakikuna [1]
hanarerubeki [1]
hanareta [1]
hanarezu [1]
hanaseyo [1]
hanashidakedo [1]
hanashidaro [1]
hanashideshou [1]
hanashikakete [1]
hanashininaranai [1]
hanashita [1]
hanashitē [1]
hanasou [1]
hanatte [1]
hanattoke [1]
hanchō-tachi [1]
handaro [1]
hanei [1]
hanen-jō [1]
hangoroshi [1]
hangyaku-sha [1]
hangyaku-sha-domo [1]
hani [1]
hanjiji [1]
hanjinanode [1]
hankyōoto [1]
hankō-tekina [1]
hannara [1]
hannesunē [1]
hannōda [1]
hanpatsu [1]
hanpuku [1]
hanran [1]
hansei [1]
hansu [1]
hansuru [1]
hanzai [1]
hanzai-sha [1]
happyō [1]
haraippai [1]
haraitaku [1]
haratta [1]
hareru [1]
harete [1]
haruka [1]
hasamatte [1]
hashike-sen [1]
hashirasa [1]
hashirenai [1]
hashiri [1]
hashiri-ppanashi [1]
hashiru [1]
hassan [1]
hassha [1]
hataka [1]
hatase [1]
hatasou [1]
hate [1]
hateru [1]
hateta [1]
hatsudō [1]
hayajini [1]
hayakatta [1]
hayari [1]
hayariyamai [1]
hayasugiru [1]
hazudakara [1]
hazudattaro [1]
hazude [1]
hazudesho [1]
hazukashikunai [1]
hazumu [1]
hazurete [1]
hazureyouda [1]
hazuse [1]
hazushita [1]
hazusu [1]
ha~ann [1]
ha~a~tsuute [1]
ha~tsua [1]
ha~tsuoioi [1]
hedo [1]
heheddōshita [1]
hehehe~tsu [1]
hehhehhehhē [1]
hei-tachi [1]
heichōde [1]
heidan-in [1]
heidanda [1]
heidanna [1]
heihō [1]
heika [1]
heikida [1]
heimon [1]
heishi-chō [1]
heishi-gokko [1]
heishi-hei-chō [1]
heishi-jō [1]
heishi-tachida [1]
heishidaro [1]
heiso-dōri [1]
heiwadattakarada [1]
heiwade [1]
hekomi [1]
hekotareru [1]
hema [1]
henda [1]
henji [1]
henjin-domo [1]
henka [1]
henkaku [1]
henkei [1]
henna [1]
hennakoto [1]
hensō-gokko [1]
hentai [1]
herashite [1]
heri [1]
herikutsu [1]
hetade [1]
hetana [1]
hette [1]
hetteru [1]
he~tsuomae [1]
hibi [1]
hibonna [1]
hidoishi [1]
higaisha [1]
hige [1]
higoro [1]
hijō [1]
hijōna [1]
hikaku [1]
hikari [1]
hiken [1]
hiken-tai [1]
hiken-taidattashi [1]
hikenai [1]
hikeru [1]
hiketsu [1]
hikichigitte [1]
hikidase-sō [1]
hikidasenakattara [1]
hikigane [1]
hikiita [1]
hikiite [1]
hikikae [1]
hikite [1]
hikitora [1]
hikitoritai [1]
hikitsudzuki [1]
hikitsukero [1]
hikitsukete [1]
hikitsukeyo [1]
hikitsurete [1]
hikiukemasukara [1]
hikiukeru [1]
hikiwatasa [1]
hikiwatashi [1]
hikiwatasu [1]
hikiyose [1]
hikiyoseru [1]
hikkakattenai [1]
hikkakatteta [1]
hikuiga [1]
hikyōda [1]
himei [1]
hinan-min-tachi [1]
hinmagatte [1]
hinouchidokoro [1]
hinsei [1]
hirachida [1]
hirakeba [1]
hiritsu [1]
hirogatte [1]
hirogero [1]
hiromatta [1]
hiroou [1]
hirotta [1]
hirumu [1]
hisandarou [1]
hisashiburi [1]
hisashiku [1]
hissu [1]
hisōna [1]
hitasura [1]
hitchi-tachi [1]
hito-kumi [1]
hitodatta [1]
hitoichibai [1]
hitonami [1]
hitonotame [1]
hitori [1]
hitosashiyubi [1]
hitoshirezu [1]
hitotsuda [1]
hitotsukida [1]
hitsuji [1]
hitsuyōdakara [1]
hitsuyōdarouga [1]
hitsuyōijō [1]
hiyaku [1]
hiyashitaga [1]
hiyokkodakarada [1]
hiyō [1]
hiza [1]
hi~tsu [1]
hochō [1]
hodode [1]
hoji [1]
hojikuri [1]
hojū [1]
hokaku-ji [1]
hokaku-mō [1]
hokakuda [1]
hokori [1]
hokori-darakedarou [1]
hokujō [1]
hokyō [1]
honbannara [1]
honda [1]
honeda [1]
honmonojan [1]
honmō [1]
honne [1]
honnin [1]
honno [1]
honnō [1]
honrainara [1]
honshitsu-tekina [1]
honshitsudakarade [1]
hontona [1]
hontō [1]
hontōrashī [1]
hore [1]
horikaesu [1]
hoshin [1]
hoshoku [1]
hoshokude [1]
hotondodearu [1]
hyaku [1]
hyōgen [1]
hyōjōda [1]
hyōmen [1]
hyōmen-ka [1]
hyōteki [1]
hīteha [1]
hōdaga [1]
hōga [1]
hōgaku [1]
hōgeki-on [1]
hōhei-tachi [1]
i-gai [1]
i-sō [1]
iande [1]
ibari [1]
ibasho [1]
ibukatte [1]
ibukuroda [1]
ichi-po [1]
ichibudeatte [1]
ichigan [1]
ichiji-tekina [1]
ichikabachika [1]
ichimōdajin [1]
ichinichijū [1]
ichininmae [1]
ichininmaedaga [1]
ichizokuda [1]
ida [1]
idomanakute [1]
idomu [1]
idonara [1]
idōda [1]
ienaku [1]
ienē [1]
ienēdaro [1]
ierudarou [1]
igaida [1]
igen [1]
igyō [1]
ihe [1]
iidasu [1]
iigusa [1]
iikaesenakute [1]
iikata [1]
iin-chō [1]
iitakatta [1]
iitsutae [1]
iiwake [1]
iiwakeda [1]
iji [1]
ijikuri [1]
ijimeta [1]
ijōda [1]
ikada [1]
ikadearimasu [1]
ikaga [1]
ikanaikara [1]
ikanainara [1]
ikanainode [1]
ikandarou [1]
ikanē [1]
ikanēnoni [1]
ikari [1]
ikaseruna [1]
ikaseyo [1]
ikedo [1]
iken [1]
ikenēnoni [1]
ikeru-sa [1]
ikidzukai [1]
ikiiki [1]
ikimasen [1]
ikimasu [1]
ikimono [1]
ikinokoreru [1]
ikiro [1]
ikiruimi [1]
ikirukoto [1]
ikisatsu [1]
ikitakatta [1]
ikiteikeru [1]
ikkai [1]
ikkaiten [1]
ikkanshite [1]
ikkoku [1]
ikkō [1]
ikubeki [1]
ikudarou [1]
ikukara [1]
ikutsu [1]
imadani [1]
imade [1]
imademo [1]
imakoko [1]
imakokona [1]
imamade [1]
imamadedōridaga [1]
imanimo [1]
imanoha [1]
imanōchini [1]
imashigata [1]
imashikanai [1]
imashita [1]
imashitaga [1]
imasugu [1]
inakattara [1]
inaku [1]
inakute [1]
inda [1]
inin [1]
inochibiroi [1]
inochida [1]
inochigake [1]
inochiryoku [1]
inochiwotoshite [1]
inochiwotoshite-sen [1]
inomama [1]
inorimashou [1]
inorimasu [1]
inoru [1]
inu-domo-me [1]
ippōda [1]
ippōteki [1]
ira [1]
iraira [1]
ire [1]
irei [1]
ireru [1]
ireta [1]
iretara [1]
iriguchi [1]
irikunda [1]
iroirona [1]
ironna [1]
irudato [1]
irudearouga [1]
iruka [1]
irunara [1]
irurashī [1]
iryokude [1]
isamashī [1]
isasaka [1]
isei [1]
ishihiroi [1]
ishinosotsū [1]
isogashī [1]
isogi-sugi [1]
issei [1]
isshin [1]
isshindeshitaga [1]
isshonikurasō [1]
isu [1]
itadake [1]
itadakemasen [1]
itadakou [1]
itadarou [1]
itaga [1]
itaidaro [1]
itainde [1]
itakedo [1]
itakunakattarou [1]
itamida [1]
itan [1]
itan-sha [1]
itanda [1]
itaranakattakara [1]
itashi [1]
itashimashou [1]
itatta [1]
itazura [1]
itazurani [1]
itchimattashi [1]
itetete [1]
ite~tsuitai [1]
itoda [1]
itoshi [1]
itotekini [1]
itsuda [1]
itsunojidaimo [1]
itsushika [1]
itsutsu [1]
itsuzai [1]
itta-sō [1]
ittadaro [1]
ittadarouga [1]
ittaga [1]
ittaika [1]
ittanchūshida [1]
ittara [1]
ittemashita [1]
ittenakatta [1]
ittenja [1]
ittenēdaro [1]
ittenēde [1]
itterassha [1]
itterudarouga [1]
ittetaga [1]
ittetakedo [1]
ittetarou [1]
ittokeba [1]
ittokukedo [1]
iuga [1]
iukara [1]
ivu~an-tachi [1]
iwaku [1]
iwandarou [1]
iyadakedo [1]
iyagaruga [1]
iyo [1]
iyoiyoda [1]
izaberu [1]
izoku [1]
izure-gai [1]
izure-shi [1]
izureka [1]
i~ [1]
i~ēgā-kun [1]
i~ēgā-kunda [1]
i~ēgādatta [1]
iēgā [1]
jaki [1]
jama [1]
jamada [1]
jan-dōshita [1]
jan-tachi [1]
jan-te [1]
janaiga [1]
janaito [1]
janakerya [1]
janaku [1]
janēto [1]
jatta [1]
jibun-ra [1]
jidai [1]
jiga [1]
jijitsudaro [1]
jikaku [1]
jikanda [1]
jikandatta [1]
jikken-daidatta [1]
jikkenda [1]
jikkende [1]
jikkōniutsusu [1]
jikoku [1]
jikōda [1]
jimaida [1]
jimau [1]
jimaudarouga [1]
jimetsu [1]
jin [1]
jinae-gai [1]
jinbutsudatta [1]
jinchi [1]
jinei-nai [1]
jinkeidearinagara [1]
jinruida [1]
jinsokuna [1]
jintai [1]
jintoku [1]
jiriki [1]
jirondaga [1]
jisseki [1]
jitaida [1]
jitsuni [1]
jitsuryoku [1]
jitsuryoku-shada [1]
jitsuryoku-shadakara [1]
jitsuwa [1]
jitsuyō [1]
jitsuzai [1]
jittai [1]
jitto [1]
jiyūda [1]
jizoku-ryoku [1]
jobunsuru [1]
jogen [1]
jon [1]
joretsu [1]
jujō [1]
jukuchi [1]
jukusui [1]
junchō [1]
junketsu [1]
jōba-chū [1]
jōbi [1]
jōdandaro [1]
jōdandayo [1]
jōhatsu [1]
jōjin [1]
jōkan-tachi [1]
jōken [1]
jōkyō-kade [1]
jōkyōna [1]
jōsai [1]
jōshiki [1]
jōtaidato [1]
jōtainanoni [1]
jōtatsu [1]
jōtōdaga [1]
jū-nen [1]
jūbundatta [1]
jūbundeatta [1]
jūbunna [1]
jūdaina [1]
jūjitsu [1]
jūjun [1]
jūjunna [1]
jūman [1]
jūnin [1]
jūryō [1]
jūsei [1]
jūshō [1]
jūyō-shi [1]
kabattari [1]
kabe-gaina [1]
kaburu [1]
kabutte [1]
kachida [1]
kaedama [1]
kaemasukara [1]
kaere [1]
kaereba [1]
kaerenai [1]
kaerenaku [1]
kaerenē [1]
kaereru [1]
kaeri [1]
kaerimi [1]
kaeshita [1]
kaeshite [1]
kaesu [1]
kaeta [1]
kaetta [1]
kagemusha [1]
kagen [1]
kagida [1]
kagina [1]
kagitte [1]
kagonde [1]
kaibendattakedo [1]
kaichō [1]
kaide [1]
kaidoku [1]
kaidō [1]
kaifuku [1]
kaigi [1]
kaihō [1]
kaiji [1]
kaikyodeattaga [1]
kaimei [1]
kaimetsutekidageki [1]
kaimudatta [1]
kainyū [1]
kairyō [1]
kaisanai [1]
kaishida [1]
kaisō [1]
kaitaku [1]
kaitaku-chi-ikidarou [1]
kaitearu [1]
kaiteki [1]
kaitekida [1]
kaitekina [1]
kaiten [1]
kaiwa [1]
kaizen [1]
kajirou [1]
kaka [1]
kakae [1]
kakaranai [1]
kakaranakute [1]
kakare [1]
kakarudarou [1]
kakatteru [1]
kakawarazu [1]
kaken [1]
kakenai [1]
kaketsuketa [1]
kakka [1]
kakkoī [1]
kakoma [1]
kakotte [1]
kaku-gai [1]
kakugiri [1]
kakuhan [1]
kakuhan-goto [1]
kakujitsu-sei [1]
kakujitsuna [1]
kakurete [1]
kakuse [1]
kakushimotteta [1]
kakushita [1]
kakuteina [1]
kakutoku [1]
kakutō-jutsuda [1]
kakutō-jutsude [1]
kakutō-sen [1]
kakyūteki [1]
kama [1]
kamaero [1]
kamaimasen [1]
kamaimasenga [1]
kamatteru [1]
kamau [1]
kamawan [1]
kamawanaidesho [1]
kaminoke [1]
kaminomiwaza [1]
kamoku [1]
kamu [1]
kanagu [1]
kanaimasen [1]
kanashimi [1]
kanashī [1]
kanawanē [1]
kanchigai [1]
kanda [1]
kangaeda [1]
kangaegoto [1]
kangaemasu [1]
kangaenai [1]
kangaenakute [1]
kangaerubekida [1]
kangaeyou [1]
kangaezu [1]
kangei [1]
kangei-shikide [1]
kanjinakatta [1]
kanjinda [1]
kanjiro [1]
kanjite [1]
kanjizaru [1]
kankatsu [1]
kanki [1]
kankiwamatta [1]
kankyō-ka [1]
kankyōda [1]
kankōrei [1]
kanpeki [1]
kanraku [1]
kansetsu [1]
kansha [1]
kanshanokimochi [1]
kanshin [1]
kanshō-teki [1]
kantanda [1]
kantanna [1]
kantoku [1]
kanyū-shiki [1]
kanyūda [1]
kanō [1]
kanōdearu [1]
kanōna [1]
kanōnakagiri [1]
kanōseina [1]
kaoda [1]
kaodachida [1]
kaodatta [1]
kaoiro [1]
kaowodasu [1]
karada-tomo [1]
karadadakedo [1]
karadatsukidearu [1]
karade [1]
karamawari [1]
karanya [1]
karappona [1]
kareru [1]
kari [1]
karini [1]
karireba [1]
karoraina [1]
karu [1]
karugaru [1]
karukatta [1]
karyoku [1]
kasegenē [1]
kasegerushi [1]
kasei [1]
kashi [1]
kashikoi [1]
kashita [1]
kashoda [1]
kasoku [1]
kasuka [1]
kasuru [1]
kasō [1]
katabutsurashī [1]
katadzukeru [1]
katagatada [1]
katamatta [1]
katamatte [1]
katarenai [1]
katayaburina [1]
katemasu [1]
katenakya [1]
kateta [1]
katete [1]
katsudō-ryoku [1]
katsuide [1]
katsute [1]
kattedakedo [1]
kattedaro [1]
kattena [1]
kawaisō [1]
kawaku [1]
kawaran [1]
kawari [1]
kawarimono-darake [1]
kawarinai [1]
kawarini [1]
kawaru [1]
kawatta [1]
kawazanyōde [1]
kawaī [1]
kayowa [1]
kayowai [1]
kayowakunē [1]
kayuito [1]
kazuōku [1]
kechirasu [1]
kedaga [1]
kedakaki [1]
kedamono [1]
kedamonoda [1]
kedamonome [1]
keibetsu [1]
keibi [1]
keii [1]
keikai [1]
keikaishin [1]
keiken [1]
keiken-shada [1]
keiken-soku [1]
keitai [1]
kekkanda [1]
kekkon [1]
kekkonshitai [1]
kekkōna [1]
ken-han-in [1]
kenage [1]
kenashide [1]
kenka [1]
kenmon [1]
kenpeidan-atari [1]
kenpeidan-samada [1]
kenpeidan-shi [1]
kenri [1]
kenryoku [1]
kensa [1]
kenzai [1]
keppaku [1]
keppeki [1]
kesa [1]
kesou [1]
kessei [1]
kessenda [1]
kesshi [1]
kesshōdearu [1]
kete [1]
ketsui [1]
ketsurondzuketa [1]
ketsuzei [1]
kettobashita [1]
kezuru [1]
kezutte [1]
kibishī [1]
kibōdearu [1]
kibōna [1]
kichō [1]
kidoru [1]
kidotte [1]
kidzuite [1]
kidzuka [1]
kidzukemasen [1]
kidzukenakatta [1]
kidzukimasendeshita [1]
kidō-sen [1]
kigurō [1]
kihakuna [1]
kihon-dōri [1]
kiiro [1]
kikai [1]
kikaida [1]
kikaku-shi [1]
kikaku-shide [1]
kike [1]
kikenda [1]
kikenna [1]
kikensugiru [1]
kikida [1]
kikidasenē [1]
kikidaseru [1]
kikita-sōna [1]
kikitakatta [1]
kikoe [1]
kikoen [1]
kikoetaga [1]
kikoetemashita [1]
kikō-shudatta [1]
kikō-shuna [1]
kikō-shunara [1]
kimaridarou [1]
kimashitaga [1]
kimatta [1]
kime [1]
kimenakya [1]
kimeyou [1]
kimezu [1]
kimo [1]
kimochīi [1]
kinmu [1]
kinodokudaga [1]
kinpin [1]
kinzoku [1]
kinzoku-on [1]
kiraida [1]
kiraidarou [1]
kiraija [1]
kirashite [1]
kirei [1]
kirei-goto [1]
kireina [1]
kiren [1]
kireta [1]
kiri [1]
kiriganai [1]
kiriotosu [1]
kirisuteru [1]
kiroku-dōrida [1]
kirou [1]
kisaku [1]
kishimu [1]
kitaeageru [1]
kitakara [1]
kitana [1]
kitananē [1]
kitanoni [1]
kitasa [1]
kitashite [1]
kitekureta [1]
kitekurete [1]
kitsu-sōna [1]
kitteru [1]
kiwotsukero [1]
kiwotsukete [1]
kiyasume [1]
kizame [1]
kizon [1]
kizuda [1]
kizutsuku [1]
kka [1]
kkara [1]
ko-tachida [1]
ko-tachide [1]
koatte [1]
kobamu [1]
kobetsu [1]
kobiritsui [1]
kobiritsuite [1]
koe-me [1]
koegachīsai [1]
koete [1]
kogaradashi [1]
kogitsuketa [1]
koibito [1]
koitsu-rada [1]
kojika [1]
kojin [1]
kojin-teki [1]
kojō [1]
kokkaku [1]
kokochi [1]
kokode [1]
kokoromi [1]
kokoromita [1]
kokoroshite [1]
kokorozashi [1]
koma [1]
komakaku [1]
komarimasen [1]
komaru [1]
komawari [1]
komero [1]
konagona [1]
konashi [1]
konasu [1]
konbanwa [1]
kondo-gai [1]
konete [1]
konkan [1]
konna-jikan [1]
konnade [1]
konnafūni [1]
kono-goe [1]
kono-nen [1]
kono-pon [1]
kono-wa [1]
konogonioyonde [1]
konokata [1]
konomae [1]
konomama [1]
konpon-teki [1]
konwaku [1]
konē [1]
konī-me [1]
konīda [1]
konīkedo [1]
konīna [1]
kora [1]
koreda [1]
korega [1]
korehakitsuina [1]
korera [1]
koritsu-gimi [1]
koroai [1]
korodakara [1]
korosanai [1]
korosanakattakara [1]
korose [1]
koroseta [1]
koroshitarashī [1]
korosukara [1]
korosukeda [1]
korā [1]
koshi [1]
koshimaki [1]
koshinuke-domo [1]
kosu [1]
kosuto [1]
kotaenaito [1]
kotaenakatta [1]
kotaeru [1]
kotaetadarou [1]
kotchi-muke [1]
kotobada [1]
kotodaga [1]
kotodakara [1]
kotodara [1]
kotodarou [1]
kotodatta [1]
kotode [1]
kotodeshita [1]
kotonarimasukara [1]
kotonaru [1]
kotonē [1]
kotoshi [1]
kotowari [1]
kowagattari [1]
kowaku [1]
kowakunaikara [1]
kowakute [1]
kowareru [1]
kowareta [1]
kowarete [1]
kowasareta [1]
kowashite [1]
kowasu [1]
koya [1]
kozō [1]
ku [1]
kubida [1]
kubigatobu [1]
kuchiberashi [1]
kuchiberashijatta [1]
kuchita [1]
kudanda [1]
kudaranai [1]
kudaru [1]
kudasare [1]
kudasaru [1]
kudasemasen [1]
kudashita [1]
kudasu [1]
kude [1]
kufū [1]
kugurinukeru [1]
kuguttanoni [1]
kuishi [1]
kuitomero [1]
kuitomete [1]
kuitsuka [1]
kuitsukanai [1]
kujo [1]
kukkyōna [1]
kukure [1]
kukutteru [1]
kumiawasa [1]
kundaro [1]
kunren-hei-chū [1]
kunren-heina [1]
kunren-sei-tachi [1]
kunrenda [1]
kuppuku [1]
kurabete [1]
kurae [1]
kuraidakara [1]
kurakute [1]
kuraseru [1]
kurashi [1]
kurereba [1]
kurerukara [1]
kurerya [1]
kuretadeshou [1]
kureya [1]
kurikaesareru [1]
kurikaesu [1]
kuroi [1]
kurokamida [1]
kurunode [1]
kururashī [1]
kurushi [1]
kurushimagire [1]
kurya [1]
kusa [1]
kusaki [1]
kusamushiri [1]
kusatteta [1]
kusegāru [1]
kusoda [1]
kusodeka [1]
kusokkore [1]
kusommienē [1]
kusonnandeda [1]
kusoonna [1]
kusoonna-gata [1]
kusottare [1]
kuso~ [1]
kuso~tsuīkagen [1]
kusshita [1]
kusso [1]
kussō [1]
kuttenē [1]
kutteru [1]
kuwae [1]
kuwaete [1]
kuwasu [1]
kuyashikattara [1]
kuyashikunai [1]
kuzu-me [1]
kyojin-tomo [1]
kyojindatta [1]
kyojindeatte [1]
kyojinna [1]
kyokugen [1]
kyokutan [1]
kyorinara [1]
kyorokyoro [1]
kyotai [1]
kyōakude [1]
kyōdai [1]
kyōdo [1]
kyōi-tekina [1]
kyōji [1]
kyōjinna [1]
kyōkanda [1]
kyōkatsu [1]
kyōkō [1]
kyōna [1]
kyōretsude [1]
kyōtsū-ten [1]
kyūchi [1]
kyūen [1]
kyūjo [1]
kyūkyo [1]
kyūna [1]
kyūseishu [1]
kyūseishuda [1]
kyūshutsu [1]
kyūyō [1]
kāchan [1]
kādo [1]
kāsannara [1]
kōdona [1]
kōeina [1]
kōhai [1]
kōhyō [1]
kōhō-atari [1]
kōiu [1]
kōji-dan [1]
kōjō [1]
kōkafukōka [1]
kōkai [1]
kōkatekina [1]
kōken [1]
kōmoku [1]
kōmyōna [1]
kōnetsuda [1]
kōon [1]
kōro [1]
kōryo [1]
kōryū [1]
kōsan [1]
kōsatsu [1]
kōseinideru [1]
kōshaku [1]
kōshitsuna [1]
kōtō [1]
kōyō [1]
kōzō [1]
kūfuku [1]
ma-machiya [1]
maboroshi [1]
machibuse [1]
machigae [1]
machigaeru [1]
machigaeta [1]
machigaetakara [1]
machigaete [1]
machigaidatta [1]
machigainashida [1]
machigatteinai [1]
machigattenē [1]
machigawanakereba [1]
machinaka [1]
mada-chū [1]
madakara [1]
madashimo [1]
mado [1]
madowasa [1]
maeba [1]
maeda [1]
magareba [1]
magire [1]
magirekonda [1]
magirete [1]
maikai [1]
maite [1]
maji [1]
majieta [1]
majiete [1]
majimeda [1]
majimena [1]
majitte [1]
makasemasu [1]
makenē [1]
makeoshimi [1]
makeruna [1]
makuru [1]
mama-ba [1]
mamadatta [1]
mamagoto [1]
mamanara [1]
mamonaku [1]
mamora [1]
mamoreba [1]
mamorubeki [1]
mamorubekida [1]
mamorukara [1]
mamottari [1]
mamotteru [1]
mamō [1]
man [1]
man-ri [1]
manabu [1]
manande [1]
manazashi [1]
maneita [1]
maneku [1]
manensuru [1]
maniatta [1]
maniau [1]
maniawanakatta [1]
maninda [1]
manmato [1]
mannaka [1]
manoatari [1]
manukedakara [1]
mari [1]
maruichinichi [1]
maruro [1]
marutina [1]
mashi [1]
mashidaro [1]
mashina [1]
massaisho [1]
massarana [1]
mataashita [1]
mataatode [1]
mataida [1]
matan [1]
matatakumani [1]
matawa [1]
mateyo [1]
mato [1]
matomattenaikedo [1]
matsuei [1]
mattakuda [1]
matteru [1]
matterukaradarouga [1]
mattoriaezu [1]
mattou [1]
mawarikomu [1]
mawase [1]
mawashitatte [1]
mawatte [1]
mayakashi [1]
mayotchimau [1]
mayowazu [1]
me-tsuki [1]
meboshi [1]
mechakuchadakedo [1]
mechakuchana [1]
medatta [1]
megakete [1]
megunde [1]
meguru [1]
meihakuda [1]
meikakuna [1]
meimei-shiki [1]
meimoku [1]
meiyo [1]
meizuru [1]
menjo [1]
mentsu [1]
mereba [1]
meta [1]
mezase [1]
mezashite [1]
mezasubeki [1]
miataran [1]
miataranai [1]
miatta [1]
michi [1]
michinoridaga [1]
midare [1]
midasu [1]
midorida [1]
mien [1]
mienaidesho [1]
mienaimono [1]
mienakattakedo [1]
mienakereba [1]
mieta [1]
mietara [1]
migaku [1]
migawari [1]
migotona [1]
mihari [1]
mijime [1]
mijirogi [1]
mikakeru [1]
mikasadaro [1]
mikasanara [1]
mikasā [1]
mikatadato [1]
mikatadearu [1]
mikatana [1]
mikiwameru [1]
mikoma [1]
mikomi [1]
mikubitte [1]
miminarenai [1]
minaoshite [1]
minaosu [1]
minarenai [1]
minashi [1]
minchi [1]
minshū [1]
minē [1]
miraieigō [1]
mirugotoku [1]
misuteya [1]
mitaidakedo [1]
mitakotoaru [1]
mitakunē [1]
mitara [1]
mitasa [1]
mitasu [1]
mitekita-sha-tachida [1]
mitekuru [1]
mitetoreru [1]
mite~e [1]
mitsukaranakatta [1]
mitsukaru [1]
mitsukeru [1]
mittomonai [1]
mittomonaku [1]
mitēda [1]
mitēdaga [1]
mitōshi [1]
miushinau [1]
miwake [1]
miwokakusu [1]
miwomakaseru [1]
mochiagerareru [1]
mochiawasete [1]
mochiba [1]
mochibana [1]
mochikaeranai [1]
mochikaerenakatta [1]
mochimonoda [1]
modakara [1]
modonnē [1]
modoranaito [1]
modorimashita [1]
modorimasu [1]
modoshite [1]
modosu [1]
modosubeki [1]
moe [1]
moita [1]
mojidōri [1]
mokutekina [1]
momeru [1]
momoniku [1]
momuki [1]
mon-hei [1]
mondaide [1]
mondarou [1]
monodarou [1]
monodeari [1]
monogoto [1]
monoiwanu [1]
moraemasen [1]
moraemasu [1]
moraerudarou [1]
morai [1]
moraitai [1]
morashite [1]
moratcha [1]
morattara [1]
moratterukara [1]
morattoite [1]
moraudato [1]
morauga [1]
moraukedo [1]
moreta [1]
motamota [1]
motanē [1]
mote [1]
motodzuku [1]
motomeru [1]
motomete [1]
motomokomonainode [1]
motteru [1]
motterukara [1]
mottoda [1]
mu-on [1]
mubōbi [1]
mubōbina [1]
muchada [1]
muchi [1]
muchidattakarada [1]
muchūde [1]
muda-banashi [1]
mudabonena [1]
mudade [1]
mudadzukai [1]
mudajinida [1]
mudajinidaro [1]
mudana [1]
mugamuchū [1]
muhō [1]
muimina [1]
muishiki [1]
muite [1]
mujun [1]
mukaeba [1]
mukaeire [1]
mukaete [1]
mukaeute [1]
mukan [1]
mukanai [1]
mukanēto [1]
mukashikara [1]
mukashimukashi [1]
mukatteru [1]
mukeru [1]
muketsu [1]
mukuwa [1]
mukō [1]
munō [1]
munōna [1]
murada [1]
muragatta [1]
muridayo [1]
muron [1]
muru-sama [1]
muryokuda [1]
muryokude [1]
musabo [1]
musekininna [1]
mushidato [1]
mushiru [1]
mushō [1]
musumeda [1]
